utc,Program:Metering_Roll.__l66b58c555a963948,Program:Metering_Roll.__l66b58c559de650ef,Program:Metering_Roll.__l66b58c55b5ff5b04,Program:Metering_Roll.__l66b58c55c24a9706,Program:Metering_Roll.__l66b58c55c7c28f94,Program:Metering_Roll.__l66b58c55d0c0ad05,Program:Metering_Roll.__l66b58c55d93afeea,Program:Metering_Roll.__l66b58c55f3d9ad47,Program:Metering_Roll.__l66b58c55fcc730f7
2019-04-12T11:01:40.661413,/0.021599488332867622, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T11:01:43.106553,/0.018495483323931694, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T11:01:45.623697,/0.015239136293530464, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T11:01:48.101839,/0.2858825623989105, 7.5, 1400.0, 0.1717718243598938, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T11:01:50.662985,/0.2894340753555298, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
2019-04-12T11:01:53.182129,/0.2929903566837311, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T11:01:55.660271,/0.22839660942554474, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T11:01:58.144413,/0.09157288074493408, 7.5, 1400.0, 0.1644623875617981, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T11:02:00.668557,/0.0900256335735321, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16875000298023224/
2019-04-12T11:02:03.304708,/0.0885450467467308, 7.5, 1400.0, 0.16811710596084595, 30000.0, 0.0, -30.0, 25.0, 0.16250000894069672/
